playername,fw_def,link
Alexander Kharitonov,FW,https://www.eliteprospects.com/player/12452/alexander-kharitonov
Bruce Gardiner,FW,https://www.eliteprospects.com/player/3572/bruce-gardiner
Trevor Letowski,FW,https://www.eliteprospects.com/player/8777/trevor-letowski
Jason York,DEF,https://www.eliteprospects.com/player/10236/jason-york
Boris Mironov,DEF,https://www.eliteprospects.com/player/21563/boris-mironov
Hans Jonsson,DEF,https://www.eliteprospects.com/player/715/hans-jonsson
Dan Boyle,DEF,https://www.eliteprospects.com/player/5369/dan-boyle
Dmitri Kalinin,DEF,https://www.eliteprospects.com/player/8673/dmitri-kalinin
Wayne Primeau,FW,https://www.eliteprospects.com/player/8575/wayne-primeau
Scott Mellanby,FW,https://www.eliteprospects.com/player/8570/scott-mellanby
Sandy McCarthy,FW,https://www.eliteprospects.com/player/25706/sandy-mccarthy
Todd Warriner,FW,https://www.eliteprospects.com/player/3726/todd-warriner
Per Svartvadet,FW,https://www.eliteprospects.com/player/741/per-svartvadet
Todd Harvey,FW,https://www.eliteprospects.com/player/9044/todd-harvey
Éric Bélanger,FW,https://www.eliteprospects.com/player/8758/eric-belanger
Josef Vasicek,FW,https://www.eliteprospects.com/player/8614/josef-vasicek
Jamal Mayers,FW,https://www.eliteprospects.com/player/5373/jamal-mayers
Eric Brewer,DEF,https://www.eliteprospects.com/player/9095/eric-brewer
Ryan Johnson,FW,https://www.eliteprospects.com/player/9033/ryan-johnson
Glen Wesley,DEF,https://www.eliteprospects.com/player/8819/glen-wesley
Larry Murphy,DEF,https://www.eliteprospects.com/player/21498/larry-murphy
Tie Domi,FW,https://www.eliteprospects.com/player/9138/tie-domi
Oleg Kvasha,FW,https://www.eliteprospects.com/player/8587/oleg-kvasha
Chris Simon,FW,https://www.eliteprospects.com/player/8882/chris-simon
Nils Ekman,FW,https://www.eliteprospects.com/player/75/nils-ekman
Patrick Poulin,FW,https://www.eliteprospects.com/player/27209/patrick-poulin
Jim Campbell,FW,https://www.eliteprospects.com/player/27208/jim-campbell
Michal Grošek,FW,https://www.eliteprospects.com/player/10812/michal-gro%C5%A1ek
German Titov,FW,https://www.eliteprospects.com/player/32587/german-titov
Mike Knuble,FW,https://www.eliteprospects.com/player/4322/mike-knuble
Garry Galley,DEF,https://www.eliteprospects.com/player/32074/garry-galley
Marek Malík,DEF,https://www.eliteprospects.com/player/1907/marek-malik
Paul Mara,DEF,https://www.eliteprospects.com/player/8566/paul-mara
Kelly Buchberger,FW,https://www.eliteprospects.com/player/62762/kelly-buchberger
Bret Hedican,DEF,https://www.eliteprospects.com/player/9045/bret-hedican
Jeff Shantz,FW,https://www.eliteprospects.com/player/12798/jeff-shantz
Jason Smith,DEF,https://www.eliteprospects.com/player/8883/jason-smith
Andrei Zyuzin,DEF,https://www.eliteprospects.com/player/8608/andrei-zyuzin
Richard Matvichuk,DEF,https://www.eliteprospects.com/player/8970/richard-matvichuk
Janne Laukkanen,DEF,https://www.eliteprospects.com/player/2662/janne-laukkanen
Tommy Albelin,DEF,https://www.eliteprospects.com/player/701/tommy-albelin
Colin White,DEF,https://www.eliteprospects.com/player/8821/colin-white
Kirk Maltby,FW,https://www.eliteprospects.com/player/8954/kirk-maltby
Ethan Moreau,FW,https://www.eliteprospects.com/player/8703/ethan-moreau
Robert Kron,FW,https://www.eliteprospects.com/player/32119/robert-kron
Alexander Selivanov,FW,https://www.eliteprospects.com/player/17591/alexander-selivanov
Mike Fisher,FW,https://www.eliteprospects.com/player/8771/mike-fisher
Mika Alatalo,FW,https://www.eliteprospects.com/player/1862/mika-alatalo
Bob Probert,FW,https://www.eliteprospects.com/player/21365/bob-probert
Alexei Morozov,FW,https://www.eliteprospects.com/player/11044/alexei-morozov
Jaroslav Modrý,DEF,https://www.eliteprospects.com/player/8593/jaroslav-modry
Toni Lydman,DEF,https://www.eliteprospects.com/player/2678/toni-lydman
Rhett Warrener,DEF,https://www.eliteprospects.com/player/8812/rhett-warrener
Darius Kasparaitis,DEF,https://www.eliteprospects.com/player/8685/darius-kasparaitis
